
Nombre de imagen               PID Nombre de sesi¢n N£m. de ses Uso de memor Estado          Nombre de usuario                                  Tiempo de CP T°tulo de ventana                                                       
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0         8 KB Unknown         NT AUTHORITY\SYSTEM                                   782:40:45 N/D                                                                     
svchost.exe                   4272 Services                   0     4.272 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   5116 Services                   0    12.612 KB Unknown         N/D                                                     0:00:15 N/D                                                                     
svchost.exe                   5164 Services                   0     3.032 KB Unknown         N/D                                                     0:00:02 N/D                                                                     
spoolsv.exe                   5268 Services                   0    10.204 KB Unknown         N/D                                                     0:00:26 N/D                                                                     
svchost.exe                   5384 Services                   0     1.260 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   5444 Services                   0     3.200 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
mDNSResponder.exe             5508 Services                   0     3.216 KB Unknown         N/D                                                     0:00:02 N/D                                                                     
svchost.exe                   5520 Services                   0    33.068 KB Unknown         N/D                                                     0:02:23 N/D                                                                     
svchost.exe                   5528 Services                   0    35.604 KB Unknown         N/D                                                     0:01:58 N/D                                                                     
OfficeClickToRun.exe          5540 Services                   0    19.652 KB Unknown         N/D                                                     0:00:14 N/D                                                                     
escsvc64.exe                  5564 Services                   0     1.236 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
EPCP.exe                      5576 Services                   0    14.148 KB Unknown         N/D                                                     0:01:15 N/D                                                                     
DtsApo4Service.exe            5584 Services                   0     2.148 KB Unknown         N/D                                                     0:00:03 N/D                                                                     
E_S60RPB.EXE                  5620 Services                   0       996 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
HPCommRecovery.exe            5636 Services                   0     8.172 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
ETDService.exe                5628 Services                   0     1.808 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
HPPrintScanDoctorService.     5672 Services                   0     2.292 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   5712 Services                   0     1.404 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
OneApp.IGCC.WinService.ex     5740 Services                   0     7.320 KB Unknown         N/D                                                     0:00:03 N/D                                                                     
IntelAudioService.exe         5820 Services                   0     6.992 KB Unknown         N/D                                                     0:00:03 N/D                                                                     
svchost.exe                   5848 Services                   0     6.712 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
ipf_uf.exe                    5860 Services                   0     2.120 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
jhi_service.exe               5868 Services                   0     1.304 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
RtkAudUService64.exe          5948 Services                   0     6.480 KB Unknown         N/D                                                     0:00:19 N/D                                                                     
svchost.exe                   5964 Services                   0     5.772 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   5980 Services                   0     3.404 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   6020 Services                   0       588 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
WMIRegistrationService.ex     6112 Services                   0     2.156 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   6120 Services                   0    15.044 KB Unknown         N/D                                                     0:00:02 N/D                                                                     
XtuService.exe                5432 Services                   0     6.648 KB Unknown         N/D                                                     0:00:02 N/D                                                                     
NgcIso.exe                    6652 Services                   0     2.748 KB Unknown         N/D                                                     0:00:03 N/D                                                                     
svchost.exe                   6800 Services                   0     4.144 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   8116 Services                   0    15.200 KB Unknown         N/D                                                     0:00:56 N/D                                                                     
svchost.exe                   6460 Services                   0     1.512 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   8048 Services                   0    20.400 KB Unknown         N/D                                                     0:03:26 N/D                                                                     
wlanext.exe                   8356 Services                   0     1.884 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
AggregatorHost.exe            8744 Services                   0     3.004 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   8828 Services                   0    14.636 KB Unknown         N/D                                                     0:00:03 N/D                                                                     
svchost.exe                   7180 Services                   0     8.428 KB Unknown         N/D                                                     0:00:02 N/D                                                                     
svchost.exe                   7844 Services                   0     5.104 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   9704 Services                   0    25.716 KB Unknown         N/D                                                     0:00:06 N/D                                                                     
SearchIndexer.exe            10016 Services                   0    21.632 KB Unknown         N/D                                                     0:06:01 N/D                                                                     
BraveCrashHandler.exe        11396 Services                   0     1.784 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
BraveCrashHandler64.exe      11692 Services                   0     1.452 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
SecurityHealthService.exe    15028 Services                   0    15.004 KB Unknown         N/D                                                     0:00:06 N/D                                                                     
svchost.exe                  14268 Services                   0     8.256 KB Unknown         N/D                                                     0:00:10 N/D                                                                     
svchost.exe                  17080 Services                   0     8.220 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                  17376 Services                   0    12.572 KB Unknown         N/D                                                     0:00:12 N/D                                                                     
svchost.exe                  19524 Services                   0     3.384 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                  21272 Services                   0    15.576 KB Unknown         N/D                                                     0:00:33 N/D                                                                     
svchost.exe                  19788 Services                   0     4.104 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                  20260 Services                   0     5.328 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                  20220 Services                   0     8.580 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                  21096 Services                   0    33.352 KB Unknown         N/D                                                     0:00:32 N/D                                                                     
svchost.exe                  21160 Services                   0     5.064 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   8988 Services                   0     1.512 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   1384 Services                   0     7.700 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                  19140 Services                   0     6.232 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                   7004 Services                   0    17.792 KB Unknown         N/D                                                     0:00:12 N/D                                                                     
MpDefenderCoreService.exe     6828 Services                   0    13.056 KB Unknown         N/D                                                     0:00:06 N/D                                                                     
MsMpEng.exe                  18552 Services                   0   292.708 KB Unknown         N/D                                                     1:17:23 N/D                                                                     
NisSrv.exe                     528 Services                   0     5.892 KB Unknown         N/D                                                     0:00:16 N/D                                                                     
svchost.exe                   8400 Services                   0    16.504 KB Unknown         N/D                                                     0:00:12 N/D                                                                     
svchost.exe                  10680 Services                   0     1.960 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   4376 Services                   0     1.244 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                   4048 Services                   0     1.464 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                  16156 Services                   0     1.816 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
csrss.exe                     1868 Console                    2     3.384 KB Unknown         N/D                                                     0:00:46 N/D                                                                     
winlogon.exe                 16164 Console                    2     6.872 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
fontdrvhost.exe               8852 Console                    2     1.756 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
dwm.exe                       3296 Console                    2   329.244 KB Running         N/D                                                     0:29:58 DWM Notification Window                                                 
NVDisplay.Container.exe      21220 Console                    2    19.448 KB Running         N/D                                                     0:00:25 UxdService                                                              
ipf_helper.exe                5108 Console                    2     5.104 KB Running         V÷CTOR\missi                                            0:00:24 N/D                                                                     
ETDCtrl.exe                  12932 Console                    2     3.560 KB Running         V÷CTOR\missi                                            0:00:00 Configuraci¢n de Mis programas                                          
sihost.exe                   17652 Console                    2    23.480 KB Running         V÷CTOR\missi                                            0:00:22 N/D                                                                     
svchost.exe                   4236 Console                    2    20.064 KB Unknown         V÷CTOR\missi                                            0:00:03 N/D                                                                     
svchost.exe                  20824 Console                    2     1.296 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
svchost.exe                   4412 Console                    2    24.564 KB Running         V÷CTOR\missi                                            0:00:08 Windows Push Notifications Platform                                     
taskhostw.exe                17440 Console                    2    10.376 KB Running         V÷CTOR\missi                                            0:00:02 Task Host Window                                                        
SystemOptimizer.exe          22076 Console                    2     8.744 KB Running         V÷CTOR\missi                                            0:00:05 OLEChannelWnd                                                           
OverlayHelper.exe            12348 Console                    2    19.696 KB Running         V÷CTOR\missi                                            0:03:00 .NET-BroadcastEventWindow.4.0.0.0.15a303f.0                             
OmenInstallMonitor.exe       22568 Console                    2     6.496 KB Running         V÷CTOR\missi                                            0:00:02 N/D                                                                     
CrossDeviceResume.exe        15932 Console                    2    12.884 KB Running         V÷CTOR\missi                                            0:00:01 CrossDeviceResumeWindow                                                 
svchost.exe                   9016 Services                   0     4.320 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
CrossDeviceService.exe        5996 Console                    2   178.812 KB Running         V÷CTOR\missi                                           10:13:49 .NET-BroadcastEventWindow.3d893c.0                                      
svchost.exe                   3972 Console                    2    16.116 KB Running         V÷CTOR\missi                                            0:00:03 N/D                                                                     
Widgets.exe                   8580 Console                    2    36.288 KB Running         V÷CTOR\missi                                            0:00:05 OLEChannelWnd                                                           
svchost.exe                   6012 Console                    2     7.508 KB Running         V÷CTOR\missi                                            0:00:02 OleMainThreadWndName                                                    
RuntimeBroker.exe            17372 Console                    2    18.032 KB Running         V÷CTOR\missi                                            0:00:04 N/D                                                                     
UserOOBEBroker.exe            6556 Console                    2     1.644 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
WidgetService.exe            10396 Console                    2     3.728 KB Running         V÷CTOR\missi                                            0:00:01 N/D                                                                     
RtkAudUService64.exe          4484 Console                    2     4.276 KB Running         N/D                                                     0:00:01 RealtekAudioAdminBackgroundProcessClass                                 
RuntimeBroker.exe            11024 Console                    2     2.240 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
ctfmon.exe                   15244 Console                    2    16.276 KB Running         V÷CTOR\missi                                            0:00:31 N/D                                                                     
RuntimeBroker.exe             4020 Console                    2    40.440 KB Running         V÷CTOR\missi                                            0:00:07 N/D                                                                     
svchost.exe                  18536 Console                    2     9.272 KB Unknown         V÷CTOR\missi                                            0:00:01 N/D                                                                     
SecurityHealthSystray.exe    15596 Console                    2     3.288 KB Running         V÷CTOR\missi                                            0:00:00 N/D                                                                     
RtkAudUService64.exe         16288 Console                    2     7.836 KB Running         V÷CTOR\missi                                            0:00:04 RealtekAudioBackgroundProcessClass                                      
RtkUGui64.exe                10388 Console                    2     3.608 KB Running         V÷CTOR\missi                                            0:00:00 Realtek HD Audio New CPL background window                              
jusched.exe                  10756 Console                    2     1.736 KB Not Responding  V÷CTOR\missi                                            0:00:00 OleMainThreadWndName                                                    
ApplicationFrameHost.exe      4932 Console                    2     5.084 KB Unknown         V÷CTOR\missi                                            0:00:01 N/D                                                                     
svchost.exe                   7916 Console                    2     5.976 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
svchost.exe                   9540 Console                    2     2.760 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
RuntimeBroker.exe             2848 Console                    2    26.244 KB Running         V÷CTOR\missi                                            0:00:02 OLEChannelWnd                                                           
OmenCommandCenterBackgrou    14708 Console                    2   172.364 KB Running         V÷CTOR\missi                                            0:06:14 GDI+ Window (OmenCommandCenterBackground.exe)                           
ReconsentNotification.exe    23964 Console                    2    16.956 KB Running         V÷CTOR\missi                                            0:00:08 .NET-BroadcastEventWindow.4.0.0.0.34a3b57.0                             
PhoneExperienceHost.exe      20404 Console                    2    34.484 KB Running         V÷CTOR\missi                                            0:00:07 .NET-BroadcastEventWindow.bf7771.0                                      
HP.ContextAware.exe          18868 Console                    2    27.800 KB Running         V÷CTOR\missi                                            0:00:20 .NET-BroadcastEventWindow.4.0.0.0.3ce0bb8.0                             
HPSystemEventUtilityBackg    12728 Console                    2    22.608 KB Running         V÷CTOR\missi                                            0:00:20 .NET-BroadcastEventWindow.4.0.0.0.21af1a5.0                             
unsecapp.exe                 21516 Console                    2     5.536 KB Running         V÷CTOR\missi                                            0:00:00 OleMainThreadWndName                                                    
dllhost.exe                   2736 Console                    2     1.220 KB Running         V÷CTOR\missi                                            0:00:00 OleMainThreadWndName                                                    
svchost.exe                  20612 Console                    2     3.980 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
svchost.exe                  21912 Services                   0     3.112 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
svchost.exe                  22700 Services                   0     5.780 KB Unknown         N/D                                                     0:00:01 N/D                                                                     
svchost.exe                  16096 Services                   0     2.124 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
SystemSettingsAdminFlows.    19332 Console                    2     2.264 KB Running         V÷CTOR\missi                                            0:00:00 OleMainThreadWndName                                                    
steam.exe                    18392 Console                    2    48.856 KB Running         V÷CTOR\missi                                            0:04:32 Sin t°tulo                                                              
steamwebhelper.exe            8436 Console                    2    55.736 KB Running         V÷CTOR\missi                                            0:01:42 Steam                                                                   
steamservice.exe             14784 Services                   0     3.148 KB Unknown         N/D                                                     0:00:03 N/D                                                                     
steamwebhelper.exe            9700 Console                    2     2.488 KB Running         V÷CTOR\missi                                            0:00:00 N/D                                                                     
steamwebhelper.exe           13908 Console                    2    58.432 KB Running         V÷CTOR\missi                                            0:00:27 N/D                                                                     
steamwebhelper.exe           10668 Console                    2    13.240 KB Unknown         V÷CTOR\missi                                            0:00:04 N/D                                                                     
steamwebhelper.exe            9536 Console                    2     5.316 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
steamwebhelper.exe           17900 Console                    2   219.072 KB Unknown         V÷CTOR\missi                                            0:00:30 N/D                                                                     
steamwebhelper.exe           12956 Console                    2    43.012 KB Unknown         V÷CTOR\missi                                            0:00:05 N/D                                                                     
svchost.exe                  11540 Services                   0     4.152 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
EdgeGameAssist.exe           18408 Console                    2       160 KB Running         V÷CTOR\missi                                            0:00:01 MicrosoftˇEdge para Game Bar                                            
XboxPcAppFT.exe              19636 Console                    2     4.216 KB Running         V÷CTOR\missi                                            0:00:05 N/D                                                                     
taskhostw.exe                24068 Console                    2    17.940 KB Running         V÷CTOR\missi                                            0:00:01 Task Host Window                                                        
SystemSettingsAdminFlows.    24140 Console                    2     2.252 KB Running         V÷CTOR\missi                                            0:00:00 OleMainThreadWndName                                                    
svchost.exe                   5280 Console                    2     2.564 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
mscopilot.exe                10296 Console                    2    37.824 KB Running         V÷CTOR\missi                                            0:00:05 N/D                                                                     
mscopilot.exe                19816 Console                    2     2.184 KB Running         V÷CTOR\missi                                            0:00:00 N/D                                                                     
mscopilot.exe                 5216 Console                    2     7.668 KB Unknown         V÷CTOR\missi                                            0:00:12 N/D                                                                     
mscopilot.exe                 5360 Console                    2    18.776 KB Running         V÷CTOR\missi                                            0:00:01 OleMainThreadWndName                                                    
mscopilot.exe                 5224 Console                    2     5.620 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
RuntimeBroker.exe            17764 Console                    2     3.096 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
msedge.exe                   21816 Console                    2    50.484 KB Running         V÷CTOR\missi                                            0:00:05 N/D                                                                     
msedge.exe                    2704 Console                    2     2.292 KB Running         V÷CTOR\missi                                            0:00:00 N/D                                                                     
msedge.exe                   15228 Console                    2     8.244 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
msedge.exe                   19276 Console                    2    24.024 KB Running         V÷CTOR\missi                                            0:00:01 OleMainThreadWndName                                                    
msedge.exe                     692 Console                    2     5.568 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
SnippingTool.exe             10468 Console                    2     9.120 KB Running         V÷CTOR\missi                                            0:00:00 DesktopWindowXamlSource                                                 
svchost.exe                   5556 Services                   0     3.472 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
dasHost.exe                  20884 Services                   0     1.216 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
SystemSettings.exe           11580 Console                    2       544 KB Running         V÷CTOR\missi                                            0:00:03 Configuraci¢n                                                           
brave.exe                     4264 Console                    2   256.304 KB Running         V÷CTOR\missi                                            0:06:30 GitHub - missingc0de/portalmedico: PORTAL MêDICO ˙ GitHub - Brave       
brave.exe                    21860 Console                    2     2.816 KB Running         V÷CTOR\missi                                            0:00:00 N/D                                                                     
brave.exe                    18948 Console                    2   398.760 KB Running         V÷CTOR\missi                                            0:16:20 N/D                                                                     
brave.exe                     8456 Console                    2    47.340 KB Running         V÷CTOR\missi                                            0:01:19 OleMainThreadWndName                                                    
brave.exe                    20196 Console                    2    10.296 KB Unknown         V÷CTOR\missi                                            0:00:02 N/D                                                                     
brave.exe                    11496 Console                    2   206.064 KB Unknown         V÷CTOR\missi                                            0:00:35 N/D                                                                     
brave.exe                    10588 Console                    2   224.320 KB Unknown         V÷CTOR\missi                                            0:00:47 N/D                                                                     
brave.exe                    15544 Console                    2    11.192 KB Unknown         V÷CTOR\missi                                            0:00:13 N/D                                                                     
brave.exe                     1444 Console                    2     8.536 KB Unknown         V÷CTOR\missi                                            0:00:07 N/D                                                                     
brave.exe                    13280 Console                    2   477.312 KB Unknown         V÷CTOR\missi                                            0:04:25 N/D                                                                     
brave.exe                     7268 Console                    2     9.476 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
explorer.exe                 11936 Console                    2   162.380 KB Running         V÷CTOR\missi                                            0:01:08 N/D                                                                     
TextInputHost.exe             4436 Console                    2    43.880 KB Running         V÷CTOR\missi                                            0:00:19 Experiencia de entrada de Windows                                       
SearchHost.exe                7944 Console                    2    29.340 KB Running         V÷CTOR\missi                                            0:00:02 Buscar                                                                  
msedgewebview2.exe           21436 Console                    2    36.024 KB Running         V÷CTOR\missi                                            0:00:03 Search                                                                  
msedgewebview2.exe           17036 Console                    2     2.628 KB Running         V÷CTOR\missi                                            0:00:00 N/D                                                                     
msedgewebview2.exe           16936 Console                    2     9.612 KB Running         V÷CTOR\missi                                            0:00:00 N/D                                                                     
msedgewebview2.exe           18524 Console                    2    17.648 KB Running         V÷CTOR\missi                                            0:00:00 OLEChannelWnd                                                           
msedgewebview2.exe            4084 Console                    2     5.488 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
msedgewebview2.exe            5592 Console                    2     9.340 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
ShellExperienceHost.exe      18044 Console                    2    54.648 KB Running         V÷CTOR\missi                                            0:00:11 Nueva notificaci¢n                                                      
brave.exe                     8936 Console                    2   239.168 KB Unknown         V÷CTOR\missi                                            0:02:29 N/D                                                                     
brave.exe                     4780 Console                    2    52.652 KB Unknown         V÷CTOR\missi                                            0:00:00 N/D                                                                     
